Calcimycin,Benzoxazoles
Haemophilus,Haemophilus somnus
"Receptor, Angiotensin, Type 2","Receptors, Angiotensin"
"Receptors, Angiotensin","Receptor, Angiotensin, Type 1"
Pasteurella pneumotropica,Pasteurella
Gram-Negative Bacteria,Piscirickettsiaceae
Piscirickettsiaceae,Gammaproteobacteria
Lymphatic Diseases,Lymphatic Abnormalities
Lymphatic Abnormalities,Congenital Abnormalities
Vibrio,Vibrio alginolyticus
Parathyroid Hormone-Related Protein,Peptide Hormones
Intercellular Signaling Peptides and Proteins,Parathyroid Hormone-Related Protein
Vibrio cholerae non-O1,Vibrio cholerae
Vibrio,Vibrio mimicus
Aliivibrio salmonicida,Aliivibrio
Gram-Negative Aerobic Rods and Cocci,Xanthomonadaceae
Xanthomonadaceae,Gammaproteobacteria
Xanthomonadaceae,Xylella
"Receptor, Parathyroid Hormone, Type 1","Receptors, Parathyroid Hormone"
"Receptors, G-Protein-Coupled","Receptors, Calcium-Sensing"
Benzylisoquinolines,Alkaloids
Isoquinolines,Benzylisoquinolines
"Receptor, Parathyroid Hormone, Type 2","Receptors, Parathyroid Hormone"
Xanthomonas,Xanthomonas vesicatoria
Pseudomonas alcaligenes,Pseudomonas
Pseudomonas,Pseudomonas mendocina
Pseudomonas oleovorans,Pseudomonas
Pseudomonas,Pseudomonas pseudoalcaligenes
Pseudomonas fragi,Pseudomonas
Gram-Negative Aerobic Rods and Cocci,Halothiobacillus
Halothiobacillus,Chromatiaceae
Pseudomonas,Pseudomonas stutzeri
Pseudomonas syringae,Pseudomonas
Gram-Negative Bacterial Infections,Piscirickettsiaceae Infections
Trans Fatty Acids,"Fatty Acids, Unsaturated"
Linoleic Acids,"Linoleic Acids, Conjugated"
"Receptors, Thromboxane A2, Prostaglandin H2","Receptors, Prostaglandin"
"Receptors, Thromboxane","Receptors, Thromboxane A2, Prostaglandin H2"
Prostaglandin H2,Prostaglandins H
"Receptors, Serotonin","Receptors, Serotonin, 5-HT1"
"Receptor, Serotonin, 5-HT1A","Receptors, Serotonin, 5-HT1"
"Receptors, Serotonin, 5-HT1","Receptor, Serotonin, 5-HT1B"
"Receptor, Serotonin, 5-HT1B",Autoreceptors
Nutrition Disorders,Malnutrition
Overnutrition,Nutrition Disorders
Esterases,Phosphoric Triester Hydrolases
"Receptor, Serotonin, 5-HT1D","Receptors, Serotonin, 5-HT1"
Autoreceptors,"Receptor, Serotonin, 5-HT1D"
Sexology,Behavioral Sciences
"Receptors, Serotonin","Receptors, Serotonin, 5-HT2"
Oceania,Geographic Locations
Oceania,Australasia
"Contraception, Postcoital",Contraception
Therapeutic Irrigation,Vaginal Douching
"GTP-Binding Protein alpha Subunits, G12-G13",GTP-Binding Protein alpha Subunits
Temperature,Transition Temperature
Phase Transition,Physical Phenomena
Chemical Phenomena,Phase Transition
Population Groups,Persons
Demography,Population Groups
African Continental Ancestry Group,Continental Population Groups
Ovarian Function Tests,Ovulation Prediction
Ovulation Prediction,Reproductive Techniques
Heterotrimeric GTP-Binding Proteins,GTP-Binding Protein alpha Subunits
GTP-Binding Protein beta Subunits,Heterotrimeric GTP-Binding Proteins
Heterotrimeric GTP-Binding Proteins,GTP-Binding Protein gamma Subunits
"Receptor, Serotonin, 5-HT2A","Receptors, Serotonin, 5-HT2"
"Receptors, Serotonin, 5-HT2","Receptor, Serotonin, 5-HT2B"
Genomic Islands,Interspersed Repetitive Sequences
"Receptors, Serotonin, 5-HT2","Receptor, Serotonin, 5-HT2C"
"Receptors, Serotonin, 5-HT3",Cysteine Loop Ligand-Gated Ion Channel Receptors
"Receptors, Serotonin","Receptors, Serotonin, 5-HT3"
"Receptors, Serotonin, 5-HT4","Receptors, Serotonin"
Phaeophyta,Kelp
Kelp,Seaweed
Glaucophyta,Cyanophora
Nitella,Characeae
Chlorophyta,Scenedesmus
Ulva,Chlorophyta
Chlorophyta,Volvox
"Receptors, Proteinase-Activated","Receptors, Cell Surface"
"Receptors, Thrombin","Receptor, PAR-1"
"Receptor, PAR-2","Receptors, G-Protein-Coupled"
"Receptors, Proteinase-Activated","Receptor, PAR-2"
European Continental Ancestry Group,Continental Population Groups
Continental Population Groups,Asian Continental Ancestry Group
American Native Continental Ancestry Group,Continental Population Groups
Continental Population Groups,Oceanic Ancestry Group
Continental Population Groups,Population Groups
Acetamides,Benzeneacetamides
Benzeneacetamides,Benzene Derivatives
Intestinal Diseases,Intestinal Polyposis
Thymine DNA Glycosylase,DNA Glycosylases
Cytosine,5-Methylcytosine
"Enterocolitis, Neutropenic",Enterocolitis
Charophyceae,Characeae
Chrysophyta,Stramenopiles
Craniofacial Abnormalities,LEOPARD Syndrome
LEOPARD Syndrome,"Heart Defects, Congenital"
Pulmonary Valve Stenosis,LEOPARD Syndrome
LEOPARD Syndrome,"Abnormalities, Multiple"
Lentigo,LEOPARD Syndrome
"RNA, Ribosomal, Self-Splicing","RNA, Catalytic"
RNA Nucleotidyltransferases,"RNA, Ribosomal, Self-Splicing"
"RNA, Ribosomal, Self-Splicing","RNA, Ribosomal"
Endoscopes,Neuroendoscopes
Neuroendoscopy,"Diagnostic Techniques, Neurological"
Endoscopy,Neuroendoscopy
Neuroendoscopy,Neurosurgical Procedures
Adenocarcinoma,"Carcinoma, Ductal"
"Carcinoma, Ductal","Neoplasms, Ductal, Lobular, and Medullary"
Glucosidases,Cellulases
Cellulosomes,Cell Surface Extensions
Dental Enamel,Dental Pellicle
Nutrition Therapy,Therapeutics
Cellulases,"Glucan 1,4-beta-Glucosidase"
"Endo-1,3(4)-beta-Glucanase",Cellulases
Kelp,Fucus
Ascophyllum,Phaeophyta
Phaeophyta,Sargassum
Undaria,Phaeophyta
Kelp,Macrocystis
Ochromonas,Chrysophyta
Rhodophyta,Porphyra
Porphyridium,Rhodophyta
Colon,"Colon, Ascending"
"Colon, Descending",Colon
Colon,"Colon, Transverse"
"DNA, A-Form",DNA
Nucleic Acid Conformation,"DNA, A-Form"
"DNA, C-Form",DNA
Nucleic Acid Conformation,"DNA, C-Form"
Forensic Sciences,Criminology
DNA,"DNA, Concatenated"
"DNA, Concatenated",Nucleic Acid Conformation
Forensic Sciences,Forensic Ballistics
Laurencia,Rhodophyta
Rhodophyta,Chondrus
Gracilaria,Rhodophyta
Rhodophyta,Plocamium
Lagenidium,Oomycetes
Oomycetes,Peronospora
Achlya,Oomycetes
Oomycetes,Aphanomyces
Saprolegnia,Oomycetes
Ubiquitin-Protein Ligase Complexes,Ubiquitin-Conjugating Enzymes
Ubiquitin-Activating Enzymes,Ubiquitin-Protein Ligase Complexes
Ubiquitin-Protein Ligase Complexes,Ubiquitin-Protein Ligases
F-Box Motifs,Amino Acid Motifs
Carrier Proteins,F-Box Proteins
Chara,Characeae
Eukaryota,Cryptophyta
S-Phase Kinase-Associated Proteins,Carrier Proteins
Euglena,Euglena longa
Biodiversity,Ecosystem
SKP Cullin F-Box Protein Ligases,Cullin Proteins
Cullin Proteins,Cell Cycle Proteins
Ubiquitin-Protein Ligases,SKP Cullin F-Box Protein Ligases
beta-Transducin Repeat-Containing Proteins,F-Box Proteins
Campylobacter,Campylobacter hyointestinalis
Campylobacter lari,Campylobacter
Metabolic Diseases,Glucose Metabolism Disorders
Campylobacter rectus,Campylobacter
Campylobacter,Campylobacter sputorum
Campylobacter upsaliensis,Campylobacter
Mannosidases,beta-Mannosidase
Congenital Hyperinsulinism,Pancreatic Diseases
"Infant, Newborn, Diseases",Congenital Hyperinsulinism
Congenital Hyperinsulinism,Hyperinsulinism
Hypoglycemia,Congenital Hyperinsulinism
Mannosidase Deficiency Diseases,"Carbohydrate Metabolism, Inborn Errors"
Lysosomal Storage Diseases,Mannosidase Deficiency Diseases
beta-Mannosidosis,Mannosidase Deficiency Diseases
Helicobacter,Helicobacter felis
Helicobacter hepaticus,Helicobacter
Oxidoreductases,Oxidoreductases Acting on CH-CH Group Donors
Butyryl-CoA Dehydrogenase,Acyl-CoA Dehydrogenases
Flavoproteins,Butyryl-CoA Dehydrogenase
Electron-Transferring Flavoproteins,Electron Transport Chain Complex Proteins
Flavoproteins,Electron-Transferring Flavoproteins
"Acyl-CoA Dehydrogenase, Long-Chain",Acyl-CoA Dehydrogenases
Flavoproteins,"Acyl-CoA Dehydrogenase, Long-Chain"
Fatty Acid Desaturases,Mixed Function Oxygenases
Oxidoreductases Acting on CH-CH Group Donors,Acyl-CoA Dehydrogenases
Proanthocyanidins,Flavonoids
Tannins,Proanthocyanidins
Biflavonoids,Flavonoids
Lignans,Flavonolignans
Flavonolignans,Flavonoids
Flavonoids,Flavonols
Kaempferols,Flavonols
Flavonoids,Flavanones
Data Compression,"Image Processing, Computer-Assisted"
"Signal Processing, Computer-Assisted",Data Compression
Data Compression,Information Storage and Retrieval
"Biopsy, Needle","Biopsy, Fine-Needle"
Cervicoplasty,Reconstructive Surgical Procedures
Antiviral Agents,Anti-Retroviral Agents
Serum,Blood
Medicine,Regenerative Medicine
Ochlerotatus,Culicidae
3-Hydroxysteroid Dehydrogenases,3-alpha-Hydroxysteroid Dehydrogenase (B-Specific)
3-alpha-Hydroxysteroid Dehydrogenase (B-Specific),NAD (+) and NADP (+) Dependent Alcohol Oxidoreductases
Alcohol Oxidoreductases,Lactate Dehydrogenases
Pedunculopontine Tegmental Nucleus,Midbrain Reticular Formation
Aminohydrolases,Methenyltetrahydrofolate Cyclohydrolase
Methylenetetrahydrofolate Dehydrogenase (NAD+),Oxidoreductases Acting on CH-NH Group Donors
Oxidoreductases,"5,10-Methylenetetrahydrofolate Reductase (FADH2)"
Cross-Priming,Lymphocyte Activation
Thiazoles,Thiazolidinediones
"Antibodies, Phospho-Specific",Antibodies
Stem Cell Transplantation,Mesenchymal Stem Cell Transplantation
Testosterone Congeners,Gonadal Steroid Hormones
Gonadal Steroid Hormones,Estradiol Congeners
Progesterone Congeners,Gonadal Steroid Hormones
Coronavirus Infections,Severe Acute Respiratory Syndrome
Severe Acute Respiratory Syndrome,Respiratory Tract Infections
Base Sequence,Matrix Attachment Regions
Fusobacteria,Bacteria
Fusobacteria,Leptotrichia
Leptotrichia,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods"
Fusobacteria,Propionigenium
Propionigenium,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods"
Porphyromonas,Porphyromonas endodontalis
Electron Transport Chain Complex Proteins,Multienzyme Complexes
Membrane Proteins,Electron Transport Chain Complex Proteins
Prevotella nigrescens,Prevotella
Prevotella,Prevotella ruminicola
Rhodothermus,Bacteroidetes
Gram-Negative Aerobic Rods and Cocci,Rhodothermus
Ornithobacterium,Flavobacteriaceae
Gram-Negative Bacteria,Ornithobacterium
Chryseobacterium,Flavobacteriaceae
Cytophagaceae,Flexibacter
Sphingobacterium,Bacteroidetes
Gram-Negative Aerobic Rods and Cocci,Sphingobacterium
Reticulocytosis,Signs and Symptoms
Blood Physiological Phenomena,Reticulocytosis
Cytochromes a1,Cytochrome a Group
Cytochrome a Group,Cytochromes a
Natriuretic Peptides,Peptide Hormones
Cytochrome a Group,Cytochromes a3
Flowmeters,Diagnostic Equipment
"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",Bilophila
Bilophila,Desulfovibrionaceae
Physiological Effects of Drugs,Natriuretic Agents
Natriuretic Agents,Cardiovascular Agents
Desulfovibrio,Desulfovibrio africanus
Desulfovibrio desulfuricans,Desulfovibrio
Desulfovibrio,Desulfovibrio gigas
Desulfuromonas,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods"
Deltaproteobacteria,Desulfuromonas
Desulfuromonas,Sulfur-Reducing Bacteria
"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",Geobacter
Geobacter,Deltaproteobacteria
Cytochrome b Group,Cytochromes b
Cytochromes c,Cytochrome c Group
Cytochrome c Group,Cytochromes c'
Photosynthetic Reaction Center Complex Proteins,Multienzyme Complexes
Thylakoid Membrane Proteins,Photosynthetic Reaction Center Complex Proteins
HCT116 Cells,"Cell Line, Tumor"
Photosynthetic Reaction Center Complex Proteins,Photosystem I Protein Complex
Photosystem I Protein Complex,Proton Pumps
Photosynthetic Reaction Center Complex Proteins,Photosystem II Protein Complex
"Nanotubes, Peptide","Peptides, Cyclic"
Nanotubes,"Nanotubes, Peptide"
Light-Harvesting Protein Complexes,Photosynthetic Reaction Center Complex Proteins
Photosynthetic Reaction Center Complex Proteins,Cytochrome b6f Complex
Cytochrome b6f Complex,Proton Pumps
Cytochrome b6f Complex,Cytochromes b6
Cytochromes b6,Cytochrome b Group
Cytochrome b6f Complex,Cytochromes f
Cytochromes f,Cytochromes
Cytochrome c Group,Cytochromes c2
Pneumocystis carinii,Pneumocystis
Cytochrome c Group,Cytochromes c6
Pregnancy-Associated alpha 2-Macroglobulins,alpha-Macroglobulins
Pregnancy Proteins,Pregnancy-Associated alpha 2-Macroglobulins
Parainfluenza Virus 5,Rubulavirus
Paramyxovirinae,Henipavirus
Hendra Virus,Henipavirus
Henipavirus,Nipah Virus
Continuous Positive Airway Pressure,Positive-Pressure Respiration
Equipment and Supplies,Microbubbles
Rotarod Performance Test,Animal Experimentation
Vasodilator Agents,Endothelium-Dependent Relaxing Factors
Avulavirus Infections,Paramyxoviridae Infections
Paramyxoviridae Infections,Henipavirus Infections
Corsiaceae,Liliales
Magnoliopsida,Dilleniaceae
Elaeocarpaceae,Magnoliopsida
Fallopia,Fallopia japonica
Chrysobalanaceae,Rosales
Rubiaceae,Rubia
Aegle,Rutaceae
Betacoronavirus,SARS Virus
Hot Springs,Natural Springs
Extreme Environments,Hot Springs
Rivers,Geological Phenomena
Fresh Water,Rivers
Helicobacter mustelae,Helicobacter
Bartonella,Bartonella bacilliformis
Molecular Mechanisms of Pharmacological Action,Pharmacologic Actions
Pharmacologic Actions,Physiological Effects of Drugs
Therapeutic Uses,Pharmacologic Actions
Enzymes,Recombinases
Phycobilisomes,Cell Membrane Structures
Light-Harvesting Protein Complexes,Phycobilisomes
PQQ Cofactor,Quinolones
Coenzymes,PQQ Cofactor
Indolequinones,Quinones
Indoles,Indolequinones
Transposon Resolvases,Recombinases
Nucleotidyltransferases,Transposon Resolvases
Holliday Junction Resolvases,Endodeoxyribonucleases
Recombinases,Holliday Junction Resolvases
"DNA, Cruciform",DNA
Nucleic Acid Conformation,"DNA, Cruciform"
VDJ Recombinases,Recombinases
Nucleotidyltransferases,VDJ Recombinases
Tetraoxanes,Peroxides
Acholeplasmataceae,Phytoplasma
Chromosome Positioning,Cell Compartmentation
Endodeoxyribonucleases,Flap Endonucleases
Intranuclear Inclusion Bodies,Inclusion Bodies
Malabsorption Syndromes,Steatorrhea
Dioncophyllaceae,Caryophyllales
Extracellular Space,Extracellular Fluid
Extracellular Fluid,Body Fluids
Entomoplasmatales,Entomoplasmataceae
Mycoplasma capricolum,Mycoplasma
Spiroplasma,Spiroplasma citri
DNA Repair Enzymes,Enzymes
Mycoplasma,Mycoplasma agalactiae
Mycoplasma arthritidis,Mycoplasma
Mycoplasma,Mycoplasma bovigenitalium
DNA Glycosylases,DNA Repair Enzymes
N-Glycosyl Hydrolases,DNA Glycosylases
Dental Etching,Tooth Preparation
Equipment and Supplies,Quantum Dots
Quantum Dots,Nanoparticles
Serine Endopeptidases,Proprotein Convertase 1
Proprotein Convertase 1,Proprotein Convertases
Mycoplasma,Mycoplasma bovis
Furin,Serine Endopeptidases
Proprotein Convertases,Furin
Mycoplasma conjunctivae,Mycoplasma
Mycoplasma,Mycoplasma dispar
Mycoplasma gallisepticum,Mycoplasma
Serine Endopeptidases,Proprotein Convertase 5
Proprotein Convertase 5,Proprotein Convertases
Surface-Active Agents,Emulsifying Agents
Mycoplasma genitalium,Mycoplasma
Mycoplasma,Mycoplasma hyopneumoniae
Proprotein Convertase 2,Serine Endopeptidases
Proprotein Convertases,Proprotein Convertase 2
Porcine Respiratory Coronavirus,Transmissible gastroenteritis virus
Esophageal Diseases,"Diverticulosis, Esophageal"
"Diverticulosis, Esophageal",Diverticulitis
Diverticulitis,"Diverticulosis, Stomach"
"Diverticulosis, Stomach",Stomach Diseases
Pyrroles,Tetrapyrroles
Tetrapyrroles,"Heterocyclic Compounds, 4 or More Rings"
Macrocyclic Compounds,Tetrapyrroles
Metalloproteases,Peptide Hydrolases
Exopeptidases,Metalloexopeptidases
Metalloexopeptidases,Metalloproteases
Tetrapyrroles,Corrinoids
"Pneumonia of Swine, Mycoplasmal","Pneumonia, Bacterial"
Swine Diseases,"Pneumonia of Swine, Mycoplasmal"
Soy Foods,Fermented Foods
Vegetable Products,Soy Foods
"Scleroderma, Diffuse","Scleroderma, Systemic"
Cell Line,"Cell Line, Tumor"
"Cell Line, Tumor","Tumor Cells, Cultured"
"Scleroderma, Systemic","Scleroderma, Limited"
Hemiterpenes,Terpenes
Plant Oils,Clove Oil
"Diterpenes, Abietane",Phenanthrenes
Diterpenes,"Diterpenes, Abietane"
"Diterpenes, Clerodane",Diterpenes
Diterpenes,"Diterpenes, Kaurane"
"Sesquiterpenes, Eudesmane",Sesquiterpenes
Sesquiterpenes,"Sesquiterpenes, Germacrane"
"Sesquiterpenes, Guaiane",Cycloheptanes
Sesquiterpenes,"Sesquiterpenes, Guaiane"
Mycoplasma hyorhinis,Mycoplasma
Mycoplasma,Mycoplasma hyosynoviae
Norisoprenoids,Carotenoids
Mycoplasma,Mycoplasma iowae
Mycoplasma meleagridis,Mycoplasma
Mycoplasma,Mycoplasma orale
Mycoplasma ovipneumoniae,Mycoplasma
Mycoplasma,Mycoplasma pulmonis
Mycoplasma salivarium,Mycoplasma
Mycoplasma,Mycoplasma synoviae
Refusal to Participate,Dissent and Disputes
Social Problems,Human Rights Abuses
Intestinal Volvulus,Intestinal Obstruction
Torsion Abnormality,Intestinal Volvulus
Ileus,Intestinal Obstruction
Gram-Negative Bacterial Infections,Desulfovibrionaceae Infections
Fusobacteriaceae Infections,Gram-Negative Bacterial Infections
Gram-Negative Bacterial Infections,Flavobacteriaceae Infections
Cytophagaceae Infections,Gram-Negative Bacterial Infections
Gram-Negative Bacterial Infections,Moraxellaceae Infections
Fibrobacter,Fibrobacteres
Firmicutes,Acidaminococcus
Acidaminococcus,"Gram-Negative Anaerobic Straight, Curved, and Helical Rods"
Gram-Negative Anaerobic Cocci,Megasphaera
Pectinatus,Veillonellaceae
Respiratory Mechanics,Exhalation
Veillonellaceae,Firmicutes
"Gram-Negative Anaerobic Straight, Curved, and Helical Rods",Veillonellaceae
Acetobacterium,"Gram-Positive Asporogenous Rods, Irregular"
Clostridiales,Butyrivibrio
Ruminococcus,Clostridiales
Gram-Positive Cocci,Ruminococcus
Desulfitobacterium,Peptococcaceae
Sulfur-Reducing Bacteria,Desulfitobacterium
Desulfotomaculum,Peptococcaceae
Gram-Positive Endospore-Forming Rods,Desulfotomaculum
Desulfotomaculum,Sulfur-Reducing Bacteria
Poaceae,Sorghum
Ganglion Cysts,Cysts
Mucinoses,Ganglion Cysts
Monkeypox,Poxviridae Infections
Primate Diseases,Monkeypox
Monkeypox,Rodent Diseases
Hormones,Anabolic Agents
Viverridae,Feliformia
Feliformia,Hyaenidae
Mustelidae,Caniformia
Caniformia,Procyonidae
Felidae,Feliformia
Felidae,Felis
Lynx,Felidae
Felidae,Panthera
Tigers,Panthera
Felidae,Puma
Canidae,Caniformia
Canidae,Coyotes
Jackals,Canidae
Canidae,Raccoon Dogs
"Microscopy, Energy-Filtering Transmission Electron","Microscopy, Electron, Transmission"
"Spectroscopy, Electron Energy-Loss","Microscopy, Energy-Filtering Transmission Electron"
"Seals, Earless",Caniformia
"Seals, Earless",Phoca
Caulerpa,Chlorophyta
Caniformia,Fur Seals
Sea Lions,Caniformia
Hearing Loss,"Hearing Loss, Unilateral"
"Hearing Loss, Mixed Conductive-Sensorineural",Hearing Loss
Birds,Anseriformes
Charadriiformes,Birds
Birds,Columbiformes
Falconiformes,Raptors
Birds,Galliformes
Palaeognathae,Birds
Birds,Passeriformes
"Hypertension, Pregnancy-Induced",Pregnancy Complications
